Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\CustomControls\LogViewer.xaml.cs,22,12,T:System.Windows.Application,,,,,"Application.Current.Dispatcher.BeginInvoke((Action)(() =>              {                  PropertyChangedEventHandler handler = PropertyChanged;                  if (handler != null)                      handler(this, new PropertyChangedEventArgs(propertyName));              }));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\CustomControls\LogViewer.xaml.cs,22,12,P:System.Windows.Application.Current,,,,,"Application.Current.Dispatcher.BeginInvoke((Action)(() =>              {                  PropertyChangedEventHandler handler = PropertyChanged;                  if (handler != null)                      handler(this, new PropertyChangedEventArgs(propertyName));              }));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\CustomControls\LogViewer.xaml.cs,22,12,T:System.Windows.Threading.Dispatcher,,,,,"Application.Current.Dispatcher.BeginInvoke((Action)(() =>              {                  PropertyChangedEventHandler handler = PropertyChanged;                  if (handler != null)                      handler(this, new PropertyChangedEventArgs(propertyName));              }));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\CustomControls\LogViewer.xaml.cs,22,12,P:System.Windows.Threading.DispatcherObject.Dispatcher,,,,,"Application.Current.Dispatcher.BeginInvoke((Action)(() =>              {                  PropertyChangedEventHandler handler = PropertyChanged;                  if (handler != null)                      handler(this, new PropertyChangedEventArgs(propertyName));              }));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\CustomControls\LogViewer.xaml.cs,22,12,T:System.Windows.Threading.DispatcherOperation,,,,,"Application.Current.Dispatcher.BeginInvoke((Action)(() =>              {                  PropertyChangedEventHandler handler = PropertyChanged;                  if (handler != null)                      handler(this, new PropertyChangedEventArgs(propertyName));              }));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\CustomControls\LogViewer.xaml.cs,22,12,"M:System.Windows.Threading.Dispatcher.BeginInvoke(System.Delegate,System.Object[])",,,,,"Application.Current.Dispatcher.BeginInvoke((Action)(() =>              {                  PropertyChangedEventHandler handler = PropertyChanged;                  if (handler != null)                      handler(this, new PropertyChangedEventArgs(propertyName));              }));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\CustomControls\LogViewer.xaml.cs,63,8,T:System.Windows.Controls.ScrollChangedEventArgs,,,,,"private void ScrollViewer_ScrollChanged(object sender, ScrollChangedEventArgs e)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\CustomControls\LogViewer.xaml.cs,84,16,P:System.Windows.RoutedEventArgs.Source,,,,,(e.Source as ScrollViewer).ScrollToVerticalOffset((e.Source as ScrollViewer).ExtentHeight);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\CustomControls\LogViewer.xaml.cs,84,16,P:System.Windows.Controls.ScrollViewer.ExtentHeight,,,,,(e.Source as ScrollViewer).ScrollToVerticalOffset((e.Source as ScrollViewer).ExtentHeight);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\CustomControls\LogViewer.xaml.cs,84,16,P:System.Windows.RoutedEventArgs.Source,,,,,(e.Source as ScrollViewer).ScrollToVerticalOffset((e.Source as ScrollViewer).ExtentHeight);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\CustomControls\LogViewer.xaml.cs,84,16,M:System.Windows.Controls.ScrollViewer.ScrollToVerticalOffset(System.Double),,,,,(e.Source as ScrollViewer).ScrollToVerticalOffset((e.Source as ScrollViewer).ExtentHeight);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\CustomControls\LogViewer.xaml.cs,81,12,P:System.Windows.Controls.ScrollChangedEventArgs.ExtentHeightChange,,,,,if (AutoScroll && e.ExtentHeightChange != 0)              {   // Content changed and autoscroll mode set                  // Autoscroll                  (e.Source as ScrollViewer).ScrollToVerticalOffset((e.Source as ScrollViewer).ExtentHeight);              }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\CustomControls\LogViewer.xaml.cs,68,16,P:System.Windows.RoutedEventArgs.Source,,,,,if ((e.Source as ScrollViewer).VerticalOffset == (e.Source as ScrollViewer).ScrollableHeight)                  {   // Scroll bar is in bottom                      // Set autoscroll mode                      AutoScroll = true;                  }                  else                  {   // Scroll bar isn't in bottom                      // Unset autoscroll mode                      AutoScroll = false;                  }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\CustomControls\LogViewer.xaml.cs,68,16,P:System.Windows.Controls.ScrollViewer.ScrollableHeight,,,,,if ((e.Source as ScrollViewer).VerticalOffset == (e.Source as ScrollViewer).ScrollableHeight)                  {   // Scroll bar is in bottom                      // Set autoscroll mode                      AutoScroll = true;                  }                  else                  {   // Scroll bar isn't in bottom                      // Unset autoscroll mode                      AutoScroll = false;                  }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\CustomControls\LogViewer.xaml.cs,68,16,P:System.Windows.RoutedEventArgs.Source,,,,,if ((e.Source as ScrollViewer).VerticalOffset == (e.Source as ScrollViewer).ScrollableHeight)                  {   // Scroll bar is in bottom                      // Set autoscroll mode                      AutoScroll = true;                  }                  else                  {   // Scroll bar isn't in bottom                      // Unset autoscroll mode                      AutoScroll = false;                  }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\CustomControls\LogViewer.xaml.cs,68,16,P:System.Windows.Controls.ScrollViewer.VerticalOffset,,,,,if ((e.Source as ScrollViewer).VerticalOffset == (e.Source as ScrollViewer).ScrollableHeight)                  {   // Scroll bar is in bottom                      // Set autoscroll mode                      AutoScroll = true;                  }                  else                  {   // Scroll bar isn't in bottom                      // Unset autoscroll mode                      AutoScroll = false;                  }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\CustomControls\LogViewer.xaml.cs,66,12,P:System.Windows.Controls.ScrollChangedEventArgs.ExtentHeightChange,,,,,if (e.ExtentHeightChange == 0)              {   // Content unchanged : user scroll event                  if ((e.Source as ScrollViewer).VerticalOffset == (e.Source as ScrollViewer).ScrollableHeight)                  {   // Scroll bar is in bottom                      // Set autoscroll mode                      AutoScroll = true;                  }                  else                  {   // Scroll bar isn't in bottom                      // Unset autoscroll mode                      AutoScroll = false;                  }              }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\CustomControls\LogViewer.xaml.cs,59,12,E:System.Windows.Window.Closed,,,,,"this.Closed += (s, e) => IsClosed = true;"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\CustomControls\LogViewer.xaml.cs,57,12,P:System.Windows.FrameworkElement.DataContext,,,,,DataContext = LogEntries = new ObservableCollection<LogEntry>();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\CustomControls\LogViewer.xaml.cs,53,8,M:System.Windows.Window.#ctor,,,,,"public LogViewer()          {              InitializeComponent();                DataContext = LogEntries = new ObservableCollection<LogEntry>();                this.Closed += (s, e) => IsClosed = true;          }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\obj\x64\Release\CustomControls\LogViewer.g.cs,86,12,T:System.Windows.Controls.ScrollChangedEventHandler,,,,,((System.Windows.Controls.ScrollViewer)(target)).ScrollChanged += new System.Windows.Controls.ScrollChangedEventHandler(this.ScrollViewer_ScrollChanged);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\obj\x64\Release\CustomControls\LogViewer.g.cs,86,12,T:System.Windows.Controls.ScrollChangedEventHandler,,,,,((System.Windows.Controls.ScrollViewer)(target)).ScrollChanged += new System.Windows.Controls.ScrollChangedEventHandler(this.ScrollViewer_ScrollChanged);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\obj\x64\Release\CustomControls\LogViewer.g.cs,86,12,E:System.Windows.Controls.ScrollViewer.ScrollChanged,,,,,((System.Windows.Controls.ScrollViewer)(target)).ScrollChanged += new System.Windows.Controls.ScrollChangedEventHandler(this.ScrollViewer_ScrollChanged);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\obj\x64\Release\CustomControls\LogViewer.g.cs,58,12,T:System.Windows.Application,,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\obj\x64\Release\CustomControls\LogViewer.g.cs,58,12,"M:System.Windows.Application.LoadComponent(System.Object,System.Uri)",,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\obj\x64\Release\CustomControls\LogViewer.g.cs,54,12,T:System.Uri,,,,,"System.Uri resourceLocater = new System.Uri(""/Siemens.Simatic.S7.Webserver.API.WebApplicationManager;component/customcontrols/"" +                      ""logviewer.xaml"", System.UriKind.Relative);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\obj\x64\Release\CustomControls\LogViewer.g.cs,54,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"System.Uri resourceLocater = new System.Uri(""/Siemens.Simatic.S7.Webserver.API.WebApplicationManager;component/customcontrols/"" +                      ""logviewer.xaml"", System.UriKind.Relative);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\CustomControls\LogViewer.xaml.cs,59,12,E:System.Windows.Window.Closed,,,,,"this.Closed += (s, e) => IsClosed = true;"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\CustomControls\LogViewer.xaml.cs,57,12,P:System.Windows.FrameworkElement.DataContext,,,,,DataContext = LogEntries = new ObservableCollection<LogEntry>();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\CustomControls\LogViewer.xaml.cs,53,8,M:System.Windows.Window.#ctor,,,,,"public LogViewer()          {              InitializeComponent();                DataContext = LogEntries = new ObservableCollection<LogEntry>();                this.Closed += (s, e) => IsClosed = true;          }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\obj\x64\Release\CustomControls\LogViewer.g.cs,40,125,T:System.Windows.Markup.IStyleConnector,,,,,IStyleConnector
